url,title,original_text,word_count,processed_tokens_count,processed_tokens_sample,sentiment,sentiment_scores
https://www.bbc.com/news/world/asia,NewsNews,"An unusually fierce monsoon has derailed daily life more than ever in the South East Asian nation. They accuse the manufacturers of doing ""nothing"" despite being aware of the plane's risks. Demonstrators had burned tyres and set a government vehicle alight, while police responded with tear gas. Korean workers who were detained in the US say they were treated like criminals and are still in shock. Gen Z protesters in Nepal tell the BBC of their pride and heartbreak after last week's momentous pro...",462,277,"['unusually', 'fierce', 'monsoon', 'derailed', 'daily', 'life', 'ever', 'south', 'east', 'asian', 'nation', 'accuse', 'manufacturers', 'nothing', 'despite', 'aware', 'planes', 'risks', 'demonstrators', 'burned']",Negative,"{'neg': 0.131, 'neu': 0.821, 'pos': 0.048, 'compound': -0.9883}"
https://www.bbc.com/news/politics,NewsNews,"The UK government is calling this the largest commercial deal of its kind and expects it to create more than 7,600 ""high-quality jobs"". The government will hope for a reprieve from questions about Peter Mandelson, says the BBC's political editor. An agreement to reduce tariffs on UK steel to zero in short order was welcomed with some fanfare in July. Eluned Morgan declines the King’s invitation to a Windsor Castle banquet with Donald Trump. Microsoft, Google and Nvidia have announced investments...",632,366,"['government', 'calling', 'largest', 'commercial', 'deal', 'kind', 'expects', 'create', 'highquality', 'jobs', 'government', 'hope', 'reprieve', 'questions', 'peter', 'mandelson', 'says', 'bbcs', 'political', 'editor']",Negative,"{'neg': 0.102, 'neu': 0.851, 'pos': 0.047, 'compound': -0.9906}"
https://www.bbc.com/news/world/africa,NewsNews,"Islamists fighters are trying to prevent deliveries of fuel and other essential supplies to landlocked Mali. Police suspect some of the victims were accused of witchcraft by others on the boat that had travelled from Senegal. The 32-year-old footballer was in court accused of raping two women and sexually assaulting another. Kenya's Beatrice Chebet is aiming to become just the third woman to clinch a 5,000m-10,000m double at the World Athletics Championships. Million of litres of highly acidic w...",630,377,"['islamists', 'fighters', 'trying', 'prevent', 'deliveries', 'fuel', 'essential', 'supplies', 'landlocked', 'mali', 'police', 'suspect', 'victims', 'accused', 'witchcraft', 'others', 'boat', 'travelled', 'senegal', 'yearold']",Negative,"{'neg': 0.172, 'neu': 0.75, 'pos': 0.078, 'compound': -0.9967}"
https://www.bbc.com/news/northern_ireland,NewsNews,"Most planned surgery and hospital appointments in the Southern Trust remain cancelled on Thursday. Stormont's education committee receives correspondence from concerned parents at Assumption Grammar in Ballynahinch, County Down. Stormont minister says the plan to protect peatlands is a ""game-changer"" for the environment. Gardaí say they believe the remains are of Daniel Aruebose who disappeared a number of years ago. The majority of the construction of one of the three Royal Navy ships will now ...",771,483,"['planned', 'surgery', 'hospital', 'appointments', 'southern', 'trust', 'remain', 'cancelled', 'thursday', 'stormonts', 'education', 'committee', 'receives', 'correspondence', 'concerned', 'parents', 'assumption', 'grammar', 'ballynahinch', 'county']",Negative,"{'neg': 0.118, 'neu': 0.819, 'pos': 0.063, 'compound': -0.9925}"
https://www.bbc.com/news/war-in-ukraine,NewsNews,"Russia imprisoned Dmytro shortly after its invasion of Ukraine in 2022. He was freed last month. The Zapad-2025 military drills come just days after Poland accused Moscow of violating its air space with a drone incursion. The US president has repeatedly threatened tougher measures against Moscow, but has so far failed to take action. The overnight attack is the largest since May, but follows much larger bombardments from Russia. In Bilozerske, eastern Ukraine, people must make the agonising deci...",523,321,"['russia', 'imprisoned', 'dmytro', 'shortly', 'invasion', 'ukraine', 'freed', 'last', 'month', 'zapad', 'military', 'drills', 'come', 'days', 'poland', 'accused', 'moscow', 'violating', 'air', 'space']",Negative,"{'neg': 0.204, 'neu': 0.754, 'pos': 0.042, 'compound': -0.9986}"
https://www.bbc.com/news/world/europe,NewsNews,"Christian Brückner has never been charged with any crime in relation to the McCann case. Yulia Navalnaya is urging the two laboratories she says found her husband was poisoned to release their findings. Prosecutors say the right-wing former presidential candidate conspired to overthrow constitutional order in the country. Items retrieved from the wreck of HMHS Britannic in the Aegean include a bell and binoculars, Greece says. The Zapad-2025 military drills come just days after Poland accused Mo...",585,350,"['christian', 'brckner', 'never', 'charged', 'crime', 'relation', 'mccann', 'case', 'yulia', 'navalnaya', 'urging', 'two', 'laboratories', 'says', 'found', 'husband', 'poisoned', 'release', 'findings', 'prosecutors']",Negative,"{'neg': 0.143, 'neu': 0.82, 'pos': 0.037, 'compound': -0.9966}"
https://www.bbc.com/news/uk,NewsNews,"Home Secretary Shabana Mahmood said attempts to block removals ""are intolerable"" and threaten the government's plans. The state visit will continue on Thursday, as it moves from a royal spectacle to political talks with PM Keir Starmer The verdict has been used in criminal trials for hundreds of years but campaigners had called for it to be abolished. The rain is set to continue into the weekend as some areas of the UK have already had nearly double the average rainfall for September. The docume...",683,387,"['home', 'secretary', 'shabana', 'mahmood', 'said', 'attempts', 'block', 'removals', 'intolerable', 'threaten', 'governments', 'plans', 'state', 'visit', 'continue', 'thursday', 'moves', 'royal', 'spectacle', 'political']",Negative,"{'neg': 0.066, 'neu': 0.881, 'pos': 0.053, 'compound': -0.8608}"
https://www.bbc.com/news/topics/c2vdnvdg6xxt,NewsNews,"The sight of tanks in Sheikh Radwan has caused widespread alarm among residents, with thousands fleeing south. Despite the forceful language, the measures appear unlikely to pass and have been condemned by Israel. It comes as a UN commission of inquiry found that Israel was committing genocide in Gaza. Marco Rubio was a guest of honour at contentious tunnel excavated under Palestinian homes in occupied East Jerusalem. Despite the forceful language, the measures appear unlikely to pass and have b...",475,274,"['sight', 'tanks', 'sheikh', 'radwan', 'caused', 'widespread', 'alarm', 'among', 'residents', 'thousands', 'fleeing', 'south', 'despite', 'forceful', 'language', 'measures', 'appear', 'unlikely', 'pass', 'condemned']",Negative,"{'neg': 0.15, 'neu': 0.818, 'pos': 0.032, 'compound': -0.9957}"
https://www.bbc.com/news/in_pictures,NewsNews,"President Trump greeted by the King and Queen and other senior royals at Windsor Castle. Abbey Road studios' nominees for its Music Photography Awards had 20,000 submissions from 30 countries. A selection of some of the most striking sports photographs taken around the world over the past seven days. The photo taken by Bidyut Kalita, is among several highly commended in this year's Wildlife Photographer of the Year. A selection of some of the most striking sports photographs taken around the wor...",400,218,"['president', 'trump', 'greeted', 'king', 'queen', 'senior', 'royals', 'windsor', 'castle', 'abbey', 'road', 'studios', 'nominees', 'music', 'photography', 'awards', 'submissions', 'countries', 'selection', 'striking']",Positive,"{'neg': 0.025, 'neu': 0.877, 'pos': 0.097, 'compound': 0.9841}"
https://www.bbc.com/news/us-canada,NewsNews,"The focus of the visit shifts from royal spectacle to political talks with the UK prime minister. Chicken and a special cocktail are being served, while Rupert Murdoch and Tim Cook are among the guests. The Federal Reserve makes its first cut to interest rates since 2024, and signals more to come. The former president criticised the response to the shooting by President Trump, who has vowed to tackle ""radical leftists"". Susan Monarez testified she had refused RFK Jr's demands to approve vaccine ...",611,350,"['focus', 'visit', 'shifts', 'royal', 'spectacle', 'political', 'talks', 'prime', 'minister', 'chicken', 'special', 'cocktail', 'served', 'rupert', 'murdoch', 'tim', 'cook', 'among', 'guests', 'federal']",Negative,"{'neg': 0.102, 'neu': 0.828, 'pos': 0.07, 'compound': -0.965}"
https://www.bbc.com/news/england,NewsNews,The focus of the visit shifts from royal spectacle to political talks with the UK prime minister. The mother of teenage murder victim Ben Moncrieff wants the law to allow young killers to be named. Ketia Moponda wants to warn university students what to look for after she nearly died from meningococcal septicaemia. Villagers led a huge fundraising effort but are without tenants for the Fishers Arms two years on. The ape is described as the closing living relative to humans but is at high risk of...,694,413,"['focus', 'visit', 'shifts', 'royal', 'spectacle', 'political', 'talks', 'prime', 'minister', 'mother', 'teenage', 'murder', 'victim', 'ben', 'moncrieff', 'wants', 'law', 'allow', 'young', 'killers']",Negative,"{'neg': 0.156, 'neu': 0.766, 'pos': 0.079, 'compound': -0.9965}"
https://www.bbc.com/news/world/middle_east,NewsNews,"The sight of tanks in Sheikh Radwan has caused widespread alarm among residents, with thousands fleeing south. Israel says its aim is to defeat up to 3,000 Hamas fighters who remain there, but the offensive has drawn international condemnation. The drought has slashed wheat harvests by 40% in a country where nearly 90% of the population already lives in poverty. A photo of the 3,000-year-old bracelet has been sent to airports, seaports and border crossings to stop it being smuggled out of the co...",604,341,"['sight', 'tanks', 'sheikh', 'radwan', 'caused', 'widespread', 'alarm', 'among', 'residents', 'thousands', 'fleeing', 'south', 'israel', 'says', 'aim', 'defeat', 'hamas', 'fighters', 'remain', 'offensive']",Negative,"{'neg': 0.187, 'neu': 0.77, 'pos': 0.043, 'compound': -0.9986}"
https://www.bbc.com/news/world/latin_america,NewsNews,"In an exclusive interview, Brazil's president says Trump is ""not emperor of the world"". For the first time in almost three decades Colombia loses its certification as a US ally in the war on drugs. Initial reports suggested the sinkhole was caused by a collapsed drainage system, according to Iztapalapa's mayor. Pascoal - famed for his blend of jazz and traditional music - wrote more than 2,000 instrumental pieces. Oblique Seville ends Jamaica's nine-year wait for a global 100m title with his her...",511,287,"['exclusive', 'interview', 'brazils', 'president', 'says', 'trump', 'emperor', 'world', 'first', 'time', 'almost', 'three', 'decades', 'colombia', 'loses', 'certification', 'ally', 'war', 'drugs', 'initial']",Negative,"{'neg': 0.119, 'neu': 0.838, 'pos': 0.043, 'compound': -0.9895}"
https://www.bbc.com/news/bbcverify,NewsNews,"BBC Verify's Merlyn Thomas looks at the latest Israeli strikes on buildings in Gaza City city over the weekend. BBC Verify asked experts, in the UK and elsewhere, if Israel’s actions in Gaza have been proportionate. BBC Verify’s Nick Beake has been looking at newly released footage of the suspect and what we know about his escape. The conservative activist and influential Trump ally was shot and killed while speaking at Utah Valley University. BBC Verify analyses footage of the suspected drone a...",852,499,"['bbc', 'verifys', 'merlyn', 'thomas', 'looks', 'latest', 'israeli', 'strikes', 'buildings', 'gaza', 'city', 'city', 'weekend', 'bbc', 'verify', 'asked', 'experts', 'elsewhere', 'israels', 'actions']",Negative,"{'neg': 0.072, 'neu': 0.868, 'pos': 0.061, 'compound': -0.2074}"
https://www.bbc.com/news/bbcindepth,NewsNews,"Months of preparations have gone into this state visit - but the Lord Mandelson question is not the only concern troubling insiders. Why so many corn belt Americans continue to back Trump, even while feeling economic pressure driven partly by his trade policy There is growing disquiet over the roles of Starmer, his chief of staff and Whitehall vetting in the saga. While there is no suggestion of criminal wrongdoing by Trump, the political consequences of the Epstein saga on the US president are ...",402,217,"['months', 'preparations', 'gone', 'state', 'visit', 'lord', 'mandelson', 'question', 'concern', 'troubling', 'insiders', 'many', 'corn', 'belt', 'americans', 'continue', 'back', 'trump', 'even', 'feeling']",Negative,"{'neg': 0.154, 'neu': 0.709, 'pos': 0.137, 'compound': -0.9236}"
https://www.bbc.com/news/world/australia,NewsNews,"He faces 27 charges which allege that he indecently assaulted or groped nine men from 2001 to 2019. The country is one of the world's biggest carbon emitters per capita. Stricter emissions targets have now been imposed on Woodside Energy's North West Shelf project. There are many more species of peacock spider than other animals, scientists think they may know why. Wildlife experts say Mike Holston's actions in Far North Queensland were dangerous and cruel. The country is one of the world's bigg...",374,230,"['faces', 'charges', 'allege', 'indecently', 'assaulted', 'groped', 'nine', 'men', 'country', 'one', 'worlds', 'biggest', 'carbon', 'emitters', 'per', 'capita', 'stricter', 'emissions', 'targets', 'imposed']",Negative,"{'neg': 0.179, 'neu': 0.8, 'pos': 0.021, 'compound': -0.996}"
